Composition = 0
log(temp), log pressure (dyne/cm^2), log density (g/cc)
1.22,9.2,0.0909301006362033
1.22,9.4,0.09223976035462961
1.22,9.6,0.09354942007305593
1.22,9.8,0.09485907979148225
1.22,10.0,0.09616873950990852
1.22,10.2,0.09747839922833486
1.22,10.4,0.09878805894676117
1.22,10.6,0.10225065474182704
1.22,10.8,0.13241471389427217
1.22,11.0,0.16257877304671686
1.22,11.2,0.1927428321991617
1.22,11.4,0.23501617957699217
1.22,11.6,0.28112588935124433
1.22,11.8,0.33322716299648636
1.22,12.0,0.3894805553059458
1.22,12.2,0.4518532354281961
1.22,12.4,0.5171099754537389
1.22,12.6,0.5869140554036902
1.22,12.8,0.6608125464390179
1.22,13.0,0.7377195694920722
1.22,13.2,0.8177036873481639
1.22,13.4,0.9006963450750683
1.22,13.6,0.9870161812925531
1.22,13.8,1.0758768047371274
1.22,14.0,1.1671437899315333
1.22,14.2,1.2606848997997746
1.22,14.4,1.3563566095868678
1.22,14.6,1.4540119774304214
1.22,14.8,1.553505732419558
1.22,15.0,1.6546975520023408
1.22,15.2,1.757453930280222
1.22,15.4,1.8616494367612981
1.22,15.6,1.9671673359214337
1.3,-6.0,0.003964441553577887
1.3,-5.8,0.003964441553577887
1.3,-5.6,0.003964441553577887
1.3,-5.4,0.003964441553577887
1.3,-5.2,0.003964441553577887
1.3,-5.0,0.003964441553577887
1.3,-4.8,0.003964441553577887
1.3,-4.6,0.003964441553577887
1.3,-4.4,0.003964441553577887
1.3,-4.2,0.003964441553577887
1.3,-4.0,0.003964441553577887
1.3,-3.8,0.005281343046598213
1.3,-3.6,0.006598244539618612
1.3,-3.4,0.007915146032638948
1.3,-3.2,0.009232047525659301
1.3,-3.0,0.010548949018679683
1.3,-2.8,0.011865850511700075
1.3,-2.6,0.013182752004720426
1.3,-2.4,0.014499653497740857
1.3,-2.2,0.015816554990761175
1.3,-2.0,0.017133456483781614
1.3,-1.8,0.01845035797680196
1.3,-1.6,0.019767259469822357
1.3,-1.4,0.0210841609628427
1.3,-1.2,0.022401062455863107
1.3,-1.0,0.023717963948883498
1.3,-0.8,0.025034865441903836
1.3,-0.6,0.026351766934924217
1.3,-0.4,0.027668668427944545
1.3,-0.2,0.028985569920964942
1.3,0.0,0.03030247141398529
1.3,0.2,0.03161937290700568
1.3,0.4,0.03293627440002603
1.3,0.6,0.03425317589304646
1.3,0.8,0.03557007738606681
1.3,1.0,0.03688697887908719
1.3,1.2,0.03820388037210755
1.3,1.4,0.03952078186512796
1.3,1.6,0.04083768335814832
1.3,1.8,0.04215458485116869
1.3,2.0,0.0434714863441891
1.3,2.2,0.04478838783720943
1.3,2.4,0.0461052893302298
1.3,2.6,0.04742219082325018
1.3,2.8,0.04873909231627057
1.3,3.0,0.05005599380929095
1.3,3.2,0.05137289530231129
1.3,3.4,0.0526897967953317
1.3,3.6,0.05400669828835201
1.3,3.8,0.055323599781372426
1.3,4.0,0.05664050127439279
1.3,4.2,0.05795740276741312
1.3,4.4,0.05927430426043355
1.3,4.6,0.06059120575345393
1.3,4.8,0.06190810724647427
1.3,5.0,0.06322500873949462
1.3,5.2,0.06454191023251504
1.3,5.4,0.06585881172553536
1.3,5.6,0.06717571321855578
1.3,5.8,0.06849261471157612
1.3,6.0,0.06980951620459651
1.3,6.2,0.07112641769761689
1.3,6.4,0.07244331919063729
1.3,6.6,0.07376022068365763
1.3,6.8,0.07507712217667796
1.3,7.0,0.07639402366969836
1.3,7.2,0.07771092516271877
1.3,7.4,0.07902782665573915
1.3,7.6,0.0803447281487595
1.3,7.8,0.0816616296417799
1.3,8.0,0.08297853113480023
1.3,8.2,0.08429543262782063
1.3,8.4,0.08561233412084102
1.3,8.6,0.0869292356138614
1.3,8.8,0.08824613710688173
1.3,9.0,0.08956303859990215
1.3,9.2,0.09087994009292248
1.3,9.4,0.09219684158594287
1.3,9.6,0.09351374307896324
1.3,9.8,0.0948306445719836
1.3,10.0,0.096147546065004
1.3,10.2,0.09746444755802434
1.3,10.4,0.0987813490510447
1.3,10.6,0.10225046538043767
1.3,10.8,0.13241457706146922
1.3,11.0,0.1625786887425006
1.3,11.2,0.1927428004235319
1.3,11.4,0.23501615932513406
1.3,11.6,0.281125880954196
1.3,11.8,0.3332271596724041
1.3,12.0,0.389480553675175
1.3,12.2,0.45185323448252596
1.3,12.4,0.5171099750272684
1.3,12.6,0.5869140552032708
1.3,12.8,0.6608125463359779
1.3,13.0,0.7377195694432623
1.3,13.2,0.8177036873255267
1.3,13.4,0.9006963450645747
1.3,13.6,0.9870161812873568
1.3,13.8,1.0758768047345337
1.3,14.0,1.1671437899302584
1.3,14.2,1.2606848997991515
1.3,14.4,1.3563566095865636
1.3,14.6,1.4540119774302727
1.3,14.8,1.5535057324194852
1.3,15.0,1.6546975520023053
1.3,15.2,1.7574539302802044
1.3,15.4,1.86164943676129
1.3,15.6,1.9671673359214301
1.38,-6.0,0.0034278541142243072
1.38,-5.8,0.0034278541142243072
1.38,-5.6,0.0034278541142243072
1.38,-5.4,0.0034278541142243072
1.38,-5.2,0.0034278541142243072
1.38,-5.0,0.0034278541142243072
1.38,-4.8,0.0034278541142243072
1.38,-4.6,0.0034278541142243072
1.38,-4.4,0.0034278541142243072
1.38,-4.2,0.0034278541142243072
1.38,-4.0,0.0034278541142243072
1.38,-3.8,0.004752113415192273
1.38,-3.6,0.006076372716160331
