Composition = 24% Fe, 76% SiO2
log temp, log pressure (dyne/cm^2), logdensity (g/cc)
1.46,4.4,0.5355812810759886
1.46,4.6,0.5368169490591298
1.46,4.8,0.5380526167615667
1.46,5.0,0.539288284183279
1.46,5.2,0.5405239513242466
1.46,5.4,0.541759618184449
1.46,5.6,0.542995284763866
1.46,5.8,0.5442309510624774
1.46,6.0,0.5454666170802629
1.46,6.2,0.5467022828172023
1.46,6.4,0.5479379482732752
1.46,6.6,0.5491736134484614
1.46,6.8,0.5504092783427407
1.46,7.0,0.5516449429560923
1.46,7.2,0.5528806072884966
1.46,7.4,0.5541162713399332
1.46,7.6,0.5553519351103814
1.46,7.8,0.5565875985998214
1.46,8.0,0.5578232618082326
1.46,8.2,0.559058924735595
1.46,8.4,0.560294587381888
1.46,8.6,0.5615302497470913
1.46,8.8,0.562765911831185
1.46,9.0,0.5640015736341485
1.46,9.2,0.5652372351559617
1.46,9.4,0.5664728963966041
1.46,9.6,0.5677085573560554
1.46,9.8,0.5689442180342956
1.46,10.0,0.5701798784313041
1.46,10.2,0.5714155385470608
1.46,10.4,0.5726511983815454
1.46,10.6,0.5738868579347373
1.46,10.8,0.5751225172066166
1.46,11.0,0.5763581761971628
1.46,11.2,0.5789597418934593
1.46,11.4,0.609507613209816
1.46,11.6,0.6398411575649436
1.46,11.8,0.6715550841664341
1.46,12.0,0.7175719603672082
1.46,12.2,0.7635449097903483
1.46,12.4,0.8176753349352514
1.46,12.6,0.8744431055697868
1.46,12.8,0.9360680692841611
1.46,13.0,1.001754203048949
1.46,13.2,1.070208097431007
1.46,13.4,1.142549198045605
1.46,13.6,1.2183247057122757
1.46,13.8,1.2967267088151655
1.46,14.0,1.3779266527169631
1.46,14.2,1.4617664529859713
1.46,14.4,1.5480665111122214
1.46,14.6,1.6368784055018828
1.46,14.8,1.727917872479395
1.46,15.0,1.8210627773486703
1.54,-6.0,0.4831730142109667
1.54,-5.8,0.4831730142109667
1.54,-5.6,0.4831730142109667
1.54,-5.4,0.4831730142109667
1.54,-5.2,0.4831730142109667
1.54,-5.0,0.4831730142109667
1.54,-4.8,0.4831730142109667
1.54,-4.6,0.4831730142109667
1.54,-4.4,0.4831730142109667
1.54,-4.2,0.4831730142109667
1.54,-4.0,0.4831730142109667
1.54,-3.8,0.4844153855513962
1.54,-3.6,0.48565775660946015
1.54,-3.4,0.48690012738513844
1.54,-3.2,0.48814249787841024
1.54,-3.0,0.4893848680892554
1.54,-2.8,0.4906272380176534
1.54,-2.6,0.49186960766358334
1.54,-2.4,0.49311197702702514
1.54,-2.2,0.49435434610795803
1.54,-2.0,0.4955967149063617
1.54,-1.8,0.4968390834222155
1.54,-1.6,0.498081451655499
1.54,-1.4,0.4993238196061918
1.54,-1.2,0.5005661872742733
1.54,-1.0,0.5018085546597228
1.54,-0.8,0.5030509217625201
1.54,-0.6,0.5042932885826445
1.54,-0.4,0.5055356551200756
1.54,-0.2,0.5067780213747929
1.54,0.0,0.5080203873467757
1.54,0.2,0.5092627530360038
1.54,0.4,0.5105051184424563
1.54,0.6,0.511747483566113
1.54,0.8,0.5129898484069533
1.54,1.0,0.5142322129649566
1.54,1.2,0.5154745772401024
1.54,1.4,0.5167169412323704
1.54,1.6,0.5179593049417397
1.54,1.8,0.5192016683681899
1.54,2.0,0.5204440315117007
1.54,2.2,0.5216863943722515
1.54,2.4,0.5229287569498215
1.54,2.6,0.5241711192443905
1.54,2.8,0.5254134812559378
1.54,3.0,0.5266558429844429
1.54,3.2,0.5278982044298853
1.54,3.4,0.5291405655922445
1.54,3.6,0.5303829264714999
1.54,3.8,0.531625287067631
1.54,4.0,0.5328676473806171
1.54,4.2,0.534110007410438
1.54,4.4,0.5353523671570729
1.54,4.6,0.5365947266205014
1.54,4.8,0.537837085800703
1.54,5.0,0.5390794446976568
1.54,5.2,0.5403218033113426
1.54,5.4,0.5415641616417399
1.54,5.6,0.5428065196888279
