Composition = 95% Water, 5% env
log temp, log pressure (dyne/cm^2), logdensity (g/cc)
1.54,-2.0,-9.793533890201601
1.54,-1.8,-9.59353389023873
1.54,-1.6,-9.393549834794884
1.54,-1.4,-9.193533890390077
1.54,-1.2,-8.993549835034008
1.54,-1.0,-8.793533890767907
1.54,-0.8,-8.593533891133502
1.54,-0.6,-8.393549836208583
1.54,-0.4,-8.193533892623822
1.54,-0.2,-7.993549838563222
1.54,0.0,-7.793533896344317
1.54,0.2,-7.5935338999442985
1.54,0.4,-7.3935498501292445
1.54,0.6,-7.193533914619451
1.54,0.8,-6.993549873315319
1.54,1.0,-6.793549895750345
1.54,1.2,-6.593533986704015
1.54,1.4,-6.393549987205662
1.54,1.6,-6.193534131209868
1.54,1.8,-5.993550215518321
1.54,2.0,-5.793550436435306
1.54,2.2,-5.593534841024142
1.54,2.4,-5.393551336991867
1.54,2.6,-5.193536263965244
1.54,2.8,-4.993553585169442
1.54,3.0,-4.7935557605124
1.54,3.2,-4.593543253406084
1.54,3.4,-4.393564628083211
1.54,3.6,-4.193557264601685
1.54,3.8,-3.993586764654495
1.54,4.0,-3.79359224074288
1.54,4.2,-3.5936260812468137
1.54,4.4,-3.3936954834520425
1.54,4.6,-3.1939798333338705
1.54,4.8,-2.995396162976595
1.54,5.0,-2.8013985607074297
1.54,5.2,-2.6213023375037894
1.54,5.4,-2.466248931459757
1.54,5.6,-2.3381614810500753
1.54,5.8,-2.230414445174818
1.62,-6.0,-13.873533890137596
1.62,-5.8,-13.6735338901376
1.62,-5.6,-13.473533890137606
1.62,-5.4,-13.273533890137612
1.62,-5.2,-13.073533890137627
1.62,-5.0,-12.873533890137645
1.62,-4.8,-12.673533890137678
1.62,-4.6,-12.47353389013773
1.62,-4.4,-12.27353389013781
1.62,-4.2,-12.073533890137938
1.62,-4.0,-11.873533890138141
1.62,-3.8,-11.67353389013846
1.62,-3.6,-11.473533890138965
1.62,-3.4,-11.27353389013976
1.62,-3.2,-11.073533890141018
1.62,-3.0,-10.873533890143005
1.62,-2.8,-10.673533890146144
1.62,-2.6,-10.473533890151106
