Composition = 0
log(temp), log pressure (dyne/cm^2), log density (g/cc)
1.68,9.2,-0.2610265582313161
1.68,9.4,-0.24896544850905816
1.68,9.6,-0.23348442738296213
1.68,9.8,-0.21492253819990131
1.68,10.0,-0.19274873470194118
1.68,10.2,-0.16733880760861616
1.68,10.4,-0.13859971157521353
1.68,10.6,-0.10641380467026663
1.68,10.8,-0.07073556808848715
1.68,11.0,-0.03130108930249123
1.68,11.2,0.012622015632167383
1.68,11.4,0.06035357331194227
1.68,11.6,0.11258764070386017
1.68,11.8,0.1688566241287355
1.68,12.0,0.22952426005312346
1.68,12.2,0.2942934357844217
1.68,12.4,0.3633129584146815
1.68,12.6,0.43336671362984736
1.76,-1.4,-9.874556157196654
1.76,-1.2,-9.674556156508636
1.76,-1.0,-9.473033587126654
1.76,-0.8,-9.270730698803977
1.76,-0.6,-5.230955998248973
1.76,-0.4,-5.119449156355762
1.76,-0.2,-5.007942311946122
1.76,0.0,-4.896435467536481
1.76,0.2,-4.784928615857783
1.76,0.4,-4.673421761089365
1.76,0.6,-4.5619148995765
1.76,0.8,-4.4504080113749644
1.76,1.0,-4.338901123173429
1.76,1.2,-4.227394161255572
1.76,1.4,-4.1158871680047175
1.76,1.6,-4.004380107601915
1.76,1.8,-3.892872781477429
1.76,2.0,-3.781365455352942
1.76,2.2,-3.6698573913732924
1.76,2.4,-3.558349013791116
1.76,2.6,-3.446840160840189
1.76,2.8,-3.335329427376128
1.76,3.0,-3.223816292593713
1.76,3.2,-3.112301072119766
1.76,3.4,-2.9627302151342456
1.76,3.6,-0.2964193470342083
1.76,3.8,-0.29578301116977973
1.76,4.0,-0.2951466753053511
1.76,4.2,-0.29451033944092236
1.76,4.4,-0.2938740035764937
1.76,4.6,-0.2932376677120651
1.76,4.8,-0.2926013318476365
1.76,5.0,-0.2919649959832079
1.76,5.2,-0.29132866011877917
1.76,5.4,-0.2906923242543506
1.76,5.6,-0.29005598838992186
1.76,5.8,-0.2894196525254933
1.76,6.0,-0.28878331666106455
1.76,6.2,-0.288146980796636
1.76,6.4,-0.2875106449322073
1.76,6.6,-0.28687430906777867
1.76,6.8,-0.2862379732033501
1.76,7.0,-0.2856016373389214
1.76,7.2,-0.2849653014744928
1.76,7.4,-0.28432896561006415
1.76,7.6,-0.2836926297456355
1.76,7.8,-0.28305629388120684
1.76,8.0,-0.28241995801677816
1.76,8.2,-0.28178362215234953
1.76,8.4,-0.2811472862879209
1.76,8.6,-0.28039940059217655
1.76,8.8,-0.2775372713926815
1.76,9.0,-0.2726445114821458
1.76,9.2,-0.2635483133695602
1.76,9.4,-0.2510159601505466
1.76,9.6,-0.2350381472884614
1.76,9.8,-0.21596747728470495
1.76,10.0,-0.19340689891188204
1.76,10.2,-0.16772323258547583
1.76,10.4,-0.1388303296205907
1.76,10.6,-0.1065364185510221
1.76,10.8,-0.0707953040530398
1.76,11.0,-0.03132913260879444
1.76,11.2,0.012609606118090253
1.76,11.4,0.060348647716886285
1.76,11.6,0.11258552336644266
1.76,11.8,0.16885579495165484
1.76,12.0,0.22952391214850235
1.76,12.2,0.2942932964813635
1.76,12.4,0.3633128994346472
1.76,12.6,0.43336367931875663
1.84,-1.4,-9.954556157804268
1.84,-1.2,-9.754556157643474
1.84,-1.0,-9.554464943676525
1.84,-0.8,-9.354326980441662
1.84,-0.6,-8.924294357788362
1.84,-0.4,-8.729595787898289
1.84,-0.2,-8.534897213606603
1.84,0.0,-8.340198639314917
1.84,0.2,-8.145500052308549
1.84,0.4,-7.950801459897789
1.84,0.6,-7.7561028556899725
1.84,0.8,-7.561404204799628
1.84,1.0,-7.366705553909284
1.84,1.2,-7.1720067740779285
1.84,1.4,-6.977307939440417
1.84,1.6,-6.782608987343977
1.84,1.8,-6.58790957046007
1.84,2.0,-6.393210153576163
1.84,2.2,-6.198509446071826
1.84,2.4,-6.0038081900291775
1.84,2.6,-5.80910610249459
1.84,2.8,-5.614400725657728
1.84,3.0,-5.419691148551391
1.84,3.2,-5.224977923254689
1.84,3.4,-4.9636996262255
1.84,3.6,-0.30026189294812133
1.84,3.8,-0.2994926292878499
