Composition = 0
log temp (K), log pressure (dyne/cm^2), logdensity (g/cc)
1.78,-0.8,-10.1988
1.78,-0.6,-9.9988
1.78,-0.4,-9.7988
1.78,-0.2,-9.5988
1.78,0.0,-9.3988
1.78,0.2,-9.1988
1.78,0.4,-8.9988
1.78,0.6,-8.7988
1.78,0.8,-8.5988
1.78,1.0,-8.3988
1.78,1.2,-8.1988
1.78,1.4,-7.9988
1.78,1.6,-7.7988
1.78,1.8,-7.5988
1.78,2.0,-7.3988
1.78,2.2,-7.1988
1.78,2.4,-6.9988
1.78,2.6,-6.7988
1.78,2.8,-6.5988
1.78,3.0,-6.3988
1.78,3.2,-6.1988
1.78,3.4,-5.9988
1.78,3.6,-5.7988
1.78,3.8,-5.5988
1.78,4.0,-5.3988
1.78,4.2,-5.1988
1.78,4.4,-4.9988
1.78,4.6,-4.7988
1.78,4.8,-4.5989
1.78,5.0,-4.3994
1.78,5.2,-4.202
1.78,5.4,-4.0119
1.78,5.6,-3.8392
1.78,5.8,-3.6916
1.86,-6.0,-15.4788
1.86,-5.8,-15.2788
1.86,-5.6,-15.0788
1.86,-5.4,-14.8788
1.86,-5.2,-14.6788
1.86,-5.0,-14.4788
1.86,-4.8,-14.2788
1.86,-4.6,-14.0788
1.86,-4.4,-13.8788
1.86,-4.2,-13.6788
1.86,-4.0,-13.4788
1.86,-3.8,-13.2788
1.86,-3.6,-13.0788
1.86,-3.4,-12.8788
1.86,-3.2,-12.6788
1.86,-3.0,-12.4788
1.86,-2.8,-12.2788
1.86,-2.6,-12.0788
1.86,-2.4,-11.8788
1.86,-2.2,-11.6788
1.86,-2.0,-11.4788
1.86,-1.8,-11.2788
1.86,-1.6,-11.0788
1.86,-1.4,-10.8788
1.86,-1.2,-10.6788
1.86,-1.0,-10.4788
1.86,-0.8,-10.2788
1.86,-0.6,-10.0788
1.86,-0.4,-9.8788
1.86,-0.2,-9.6788
1.86,0.0,-9.4788
1.86,0.2,-9.2788
1.86,0.4,-9.0788
1.86,0.6,-8.8788
1.86,0.8,-8.6788
1.86,1.0,-8.4788
1.86,1.2,-8.2788
1.86,1.4,-8.0788
1.86,1.6,-7.8788
1.86,1.8,-7.6788
1.86,2.0,-7.4788
1.86,2.2,-7.2788
1.86,2.4,-7.0788
1.86,2.6,-6.8788
1.86,2.8,-6.6788
1.86,3.0,-6.4788
1.86,3.2,-6.2788
1.86,3.4,-6.0788
1.86,3.6,-5.8788
1.86,3.8,-5.6788
1.86,4.0,-5.4788
1.86,4.2,-5.2788
1.86,4.4,-5.0788
1.86,4.6,-4.8788
1.86,4.8,-4.6788
1.86,5.0,-4.4791
1.86,5.2,-4.2802
