Composition = 0
log(temp), log pressure (dyne/cm^2), log density (g/cc)
1.22,6.0,0.46834071547037964
1.22,6.2,0.4695605589812859
1.22,6.4,0.4707804024921921
1.22,6.6,0.4720002460030984
1.22,6.8,0.4732200895140046
1.22,7.0,0.47443993302491094
1.22,7.2,0.47565977653581704
1.22,7.4,0.47687962004672335
1.22,7.6,0.47809946355762956
1.22,7.8,0.47931930706853587
1.22,8.0,0.4805391505794421
1.22,8.2,0.4817589940903483
1.22,8.4,0.4829788376012545
1.22,8.6,0.4841986811121608
1.22,8.8,0.485418524623067
1.22,9.0,0.4866383681339732
1.22,9.2,0.48785821164487947
1.22,9.4,0.48907805515578573
1.22,9.6,0.49029789866669193
1.22,9.8,0.49151774217759825
1.22,10.0,0.49273758568850445
1.22,10.2,0.49395742919941066
1.22,10.4,0.495177272710317
1.22,10.6,0.4963971162212231
1.22,10.8,0.4976169597321294
1.22,11.0,0.4988368032430357
1.22,11.2,0.5015614769661557
1.22,11.4,0.5351866604454639
1.22,11.6,0.5688118439247718
1.22,11.8,0.6034471659392382
1.22,12.0,0.6510098593239882
1.22,12.2,0.6985725527087385
1.22,12.4,0.7550472025115261
1.22,12.6,0.8132386332489938
1.22,12.8,0.8769209135483448
1.22,13.0,0.9441819737279011
1.22,13.2,1.0143993246613645
1.22,13.4,1.088435660620998
1.22,13.6,1.1659417571840556
1.22,13.8,1.2461371917580015
1.22,14.0,1.3290192670336225
1.22,14.2,1.414515074928232
1.22,14.4,1.5025158425474132
1.22,14.6,1.5930768972352947
1.22,14.8,1.6858453810354332
1.22,15.0,1.7806407715774215
1.22,15.2,1.8773478639909014
1.22,15.4,1.9758489502917689
1.3,-5.0,0.40073679445268817
1.3,-4.8,0.40196296908232665
1.3,-4.6,0.40318914371196524
1.3,-4.4,0.40441531834160394
1.3,-4.2,0.40564149297124236
1.3,-4.0,0.40686766760088094
1.3,-3.8,0.4080938422305195
1.3,-3.6,0.40932001686015806
1.3,-3.4,0.4105461914897967
1.3,-3.2,0.41177236611943524
1.3,-3.0,0.4129985407490738
1.3,-2.8,0.4142247153787123
1.3,-2.6,0.4154508900083509
1.3,-2.4,0.41667706463798954
1.3,-2.2,0.4179032392676282
1.3,-2.0,0.41912941389726655
1.3,-1.8,0.42035558852690513
1.3,-1.6,0.42158176315654383
1.3,-1.4,0.4228079377861823
1.3,-1.2,0.4240341124158209
1.3,-1.0,0.4252602870454594
1.3,-0.8,0.42648646167509807
1.3,-0.6,0.42771263630473666
1.3,-0.4,0.42893881093437514
1.3,-0.2,0.4301649855640137
1.3,0.0,0.4313911601936523
1.3,0.2,0.4326173348232909
1.3,0.4,0.4338435094529295
1.3,0.6,0.435069684082568
1.3,0.8,0.43629585871220655
1.3,1.0,0.43752203334184514
1.3,1.2,0.43874820797148373
1.3,1.4,0.4399743826011223
1.3,1.6,0.4412005572307609
1.3,1.8,0.4424267318603994
1.3,2.0,0.44365290649003797
1.3,2.2,0.4448790811196766
1.3,2.4,0.44610525574931514
1.3,2.6,0.4473314303789536
1.3,2.8,0.44855760500859226
1.3,3.0,0.4497837796382308
1.3,3.2,0.4510099542678694
1.3,3.4,0.45223612889750797
1.3,3.6,0.45346230352714656
1.3,3.8,0.45468847815678515
1.3,4.0,0.4559146527864236
1.3,4.2,0.4571408274160622
1.3,4.4,0.4583670020457008
1.3,4.6,0.4595931766753394
1.3,4.8,0.4608193513049779
1.3,5.0,0.46204552593461645
1.3,5.2,0.46327170056425504
1.3,5.4,0.46449787519389363
1.3,5.6,0.46572404982353216
1.3,5.8,0.4669502244531708
1.3,6.0,0.4681763990828093
1.3,6.2,0.46940257371244787
1.3,6.4,0.47062874834208646
1.3,6.6,0.47185492297172504
1.3,6.8,0.47308109760136363
1.3,7.0,0.4743072722310021
1.3,7.2,0.4755334468606408
1.3,7.4,0.4767596214902793
1.3,7.6,0.47798579611991787
1.3,7.8,0.47921197074955646
1.3,8.0,0.48043814537919505
1.3,8.2,0.4816643200088335
1.3,8.4,0.48289049463847217
1.3,8.6,0.4841166692681107
1.3,8.8,0.4853428438977493
1.3,9.0,0.4865690185273879
1.3,9.2,0.48779519315702646
1.3,9.4,0.489021367786665
1.3,9.6,0.49024754241630353
1.3,9.8,0.4914737170459421
1.3,10.0,0.49269989167558065
1.3,10.2,0.4939260663052192
1.3,10.4,0.4951522409348579
1.3,10.6,0.4963784155644964
1.3,10.8,0.49760459019413505
1.3,11.0,0.49883076482377353
1.3,11.2,0.5015614417847657
1.3,11.4,0.5351866359535316
1.3,11.6,0.568811830122297
1.3,11.8,0.6034471603697428
1.3,12.0,0.6510098527846296
1.3,12.2,0.6985725451995163
1.3,12.4,0.7550471978673591
1.3,12.6,0.8132386321814169
1.3,12.8,0.8769209132375975
1.3,13.0,0.9441819736888737
1.3,13.2,1.014399324624451
1.3,13.4,1.0884356606041603
1.3,13.6,1.1659417571757231
1.3,13.8,1.246137191754152
1.3,14.0,1.3290192670318826
1.3,14.2,1.4145150749274489
1.3,14.4,1.50251584254706
1.3,14.6,1.5930768972351304
1.3,14.8,1.6858453810353549
1.3,15.0,1.7806407715773847
1.3,15.2,1.8773478639908847
1.3,15.4,1.9758489502917607
1.38,-4.8,0.40144841177042967
1.38,-4.6,0.4026810220638648
1.38,-4.4,0.40391363235730005
1.38,-4.2,0.4051462426507353
1.38,-4.0,0.40637885294417053
1.38,-3.8,0.4076114632376056
1.38,-3.6,0.40884407353104085
1.38,-3.4,0.41007668382447615
1.38,-3.2,0.4113092941179113
1.38,-3.0,0.4125419044113465
1.38,-2.8,0.4137745147047817
1.38,-2.6,0.4150071249982168
1.38,-2.4,0.41623973529165215
1.38,-2.2,0.4174723455850874
1.38,-2.0,0.41870495587852247
1.38,-1.8,0.4199375661719577
1.38,-1.6,0.42117017646539295
1.38,-1.4,0.4224027867588281
1.38,-1.2,0.4236353970522633
1.38,-1.0,0.4248680073456985
1.38,-0.8,0.42610061763913376
1.38,-0.6,0.4273332279325689
1.38,-0.4,0.42856583822600414
1.38,-0.2,0.4297984485194393
1.38,0.0,0.4310310588128745
1.38,0.2,0.43226366910630976
1.38,0.4,0.433496279399745
1.38,0.6,0.43472888969318013
1.38,0.8,0.4359614999866154
1.38,1.0,0.4371941102800505
1.38,1.2,0.43842672057348575
1.38,1.4,0.439659330866921
1.38,1.6,0.4408919411603561
1.38,1.8,0.44212455145379126
1.38,2.0,0.4433571617472266
1.38,2.2,0.44458977204066175
1.38,2.4,0.445822382334097
1.38,2.6,0.44705499262753223
1.38,2.8,0.4482876029209675
1.38,3.0,0.4495202132144026
1.38,3.2,0.45075282350783774
1.38,3.4,0.451985433801273
1.38,3.6,0.45321804409470823
1.38,3.8,0.45445065438814347
1.38,4.0,0.4556832646815786
1.38,4.2,0.45691587497501374
1.38,4.4,0.458148485268449
1.38,4.6,0.4593810955618841
1.38,4.8,0.46061370585531947
1.38,5.0,0.4618463161487546
1.38,5.2,0.46307892644218973
1.38,5.4,0.464311536735625
1.38,5.6,0.4655441470290602
1.38,5.8,0.46677675732249535
1.38,6.0,0.46800936761593065
1.38,6.2,0.4692419779093658
1.38,6.4,0.47047458820280097
1.38,6.6,0.4717071984962362
1.38,6.8,0.47293980878967146
1.38,7.0,0.4741724190831066
1.38,7.2,0.47540502937654183
1.38,7.4,0.4766376396699771
1.38,7.6,0.47787024996341215
1.38,7.8,0.47910286025684745
1.38,8.0,0.4803354705502827
1.38,8.2,0.4815680808437178
1.38,8.4,0.48280069113715307
1.38,8.6,0.48403330143058826
1.38,8.8,0.48526591172402345
1.38,9.0,0.48649852201745863
1.38,9.2,0.4877311323108938
1.38,9.4,0.48896374260432907
1.38,9.6,0.49019635289776425
1.38,9.8,0.4914289631911995
1.38,10.0,0.49266157348463463
1.38,10.2,0.4938941837780698
1.38,10.4,0.49512679407150506
1.38,10.6,0.4963594043649403
1.38,10.8,0.49759201465837555
1.38,11.0,0.4988246249518107
1.38,11.2,0.5015613596243116
1.38,11.4,0.5351865789359449
1.38,11.6,0.568811798247578
1.38,11.8,0.6034471485595744
1.38,12.0,0.6510098449698081
1.38,12.2,0.6985725413800417
1.38,12.4,0.7550471954124873
1.38,12.6,0.813238631322305
1.38,12.8,0.8769209128601549
1.38,13.0,0.944181973532856
1.38,13.2,1.0143993245527374
1.38,13.4,1.0884356605714496
1.38,13.6,1.1659417571595354
1.38,13.8,1.246137191746673
1.38,14.0,1.3290192670285015
1.38,14.2,1.414515074925928
1.38,14.4,1.5025158425463738
1.38,14.6,1.5930768972348108
1.38,14.8,1.6858453810352028
1.38,15.0,1.7806407715773136
1.38,15.2,1.877347863990851
1.38,15.4,1.9758489502917453
1.46,-4.8,0.4009242803618289
1.46,-4.6,0.40216344600906245
1.46,-4.4,0.403402611656296
1.46,-4.2,0.40464177730352946
1.46,-4.0,0.40588094295076294
1.46,-3.8,0.4071201085979964
1.46,-3.6,0.4083592742452299
1.46,-3.4,0.4095984398924635
1.46,-3.2,0.4108376055396969
1.46,-3.0,0.4120767711869304
1.46,-2.8,0.4133159368341639
1.46,-2.6,0.4145551024813974
1.46,-2.4,0.4157942681286309
1.46,-2.2,0.41703343377586444
1.46,-2.0,0.41827259942309786
1.46,-1.8,0.41951176507033133
1.46,-1.6,0.42075093071756486
1.46,-1.4,0.42199009636479834
1.46,-1.2,0.4232292620120318
1.46,-1.0,0.4244684276592653
1.46,-0.8,0.4257075933064988
1.46,-0.6,0.42694675895373235
1.46,-0.4,0.42818592460096583
1.46,-0.2,0.4294250902481993
1.46,0.0,0.4306642558954328
1.46,0.2,0.43190342154266625
1.46,0.4,0.43314258718989973
1.46,0.6,0.4343817528371332
1.46,0.8,0.4356209184843667
1.46,1.0,0.43686008413160027
1.46,1.2,0.43809924977883374
1.46,1.4,0.4393384154260672
1.46,1.6,0.4405775810733007
1.46,1.8,0.44181674672053417
1.46,2.0,0.44305591236776765
1.46,2.2,0.44429507801500123
1.46,2.4,0.4455342436622347
1.46,2.6,0.4467734093094682
1.46,2.8,0.44801257495670166
1.46,3.0,0.44925174060393513
1.46,3.2,0.4504909062511686
